[239, 189]0.0001
[178, 189]0.0001
[123, 187]0.0001
[107, 187]0.0001
[112, 185.5]2.06165
[17.5, 187]5.85245
[72.5, 186.5]7.90579
[227, 183]5.38526
[165.5, 181.5]3.53563
[217, 181]2.0001
[199, 185]8.94437
[184, 179]0.0001
[66, 178]0.0001
[15, 178]0.0001
[238, 178.5]3.3542
[200, 177]0.0001
[141, 183]6.7083
[71.5, 179]2.06165
[130, 176]0.0001
[221, 174]0.0001
[101, 181.5]7.76219
[95, 173]0.0001
[91, 177.5]4.92453
[234, 172]0.0001
[135, 172]0.0001
[8, 172]0.0001
[75.5, 173]2.5001
[3, 171]0.0001
[0, 170]0.0001
[191.5, 170]1.80288
[117.582, 176.172]8.98867
[79, 168]0.0001
[240, 167]0.0001
[211.5, 168]4.2721
[66, 164]0.0001
[154, 166.5]15.403
[182, 161]0.0001
[77, 161]0.0001
[123.5, 163]4.03123
[114, 165]6.32466
[118, 158]0.0001
[84, 164]6.7083
[46.9302, 166.265]9.21312
[213.5, 158.5]1.58124
[148.5, 159]2.5001
[183, 156]0.0001
[176.5, 155.5]1.58124
[131.5, 156.5]2.12142
[238.439, 156.348]3.6944
[135, 153]0.0001
[127, 152]0.0001
[115, 152]0.0001
[71, 151]0.0001
[29.5, 155]6.0209
[156, 150]0.0001
[204, 152.5]6.26508
[137, 147]0.0001
[22, 147]0.0001
[241, 147.5]2.69268
[62, 155]13.4537
[143.5, 144.5]3.53563
[60, 144]0.0001
[199, 142]0.0001
[198, 140]0.0001
[175, 140]0.0001
[156.5, 143.5]3.53563
[29.375, 144.25]4.55017
[132, 141]4.24274
[150, 134]0.0001
[170.136, 141.245]8.32349
[35, 133]0.0001
[247.5, 133.5]2.12142
[196, 132]0.0001
[126, 131]0.0001
[79, 131]0.0001
[48.5, 143]12.0105
[175, 130]0.0001
[102, 130]0.0001
[37, 130]0.0001
[119, 135]7.2112
[97.5, 144.5]18.3985
[82.5, 148]21.7084
[101, 128]0.0001
[22, 130.5]6.0209
[120, 125]0.0001
[81, 127]2.82853
[247, 126]2.0001
[225, 124]0.0001
[143.886, 128.029]9.11443
[115, 124]0.0001
[27, 124]0.0001
[163.5, 129.5]8.74653
[232.588, 129.676]9.73379
[133, 121]0.0001
[151, 120]0.0001
[17, 120]0.0001
[144, 120]2.23617
[212.5, 134.5]16.5681
[111, 118]0.0001
[173.5, 117.5]1.58124
[51, 113]0.0001
[205, 128.5]16.6209
[50.5, 121.5]16.8078
[144, 110]0.0001
[183, 120.5]12.54
[229, 108.5]3.04148
[193, 108]0.0001
[89.5, 114.5]20.2609
[177, 107]0.0001
[52, 107]0.0001
[198, 106]0.0001
[0, 106]0.0001
[222, 105]3.16238
[205, 106.5]2.69268
[43, 104]0.0001
[249, 103]0.0001
[74, 104]7.28021
[5, 100.5]2.5001
[214, 98]0.0001
[0, 98]0.0001
[79, 97]0.0001
[11, 96]0.0001
[67, 93]0.0001
[237.5, 96]11.6727
[194.129, 97.264]6.5341
